gender,age,height,weight,race,major,year,centre
Female,20.07,170.34,64.83,White,Environmental Sciences,2000,Online
Male,18.05,169.01,63.6,White,Political Science,2000,Online
Female,18.81,168.46,62.67,White,Environmental Sciences,2002,Campus
Male,20.33,170.65,65.04,White,Economics and Finance,2001,Online
Female,18.7,169.13,65.35,White,Political Science,2000,Campus
Female,20.94,169.53,64.56,White,Environmental Sciences,2002,Online
Male,19.94,170.8,66.08,White,Economics and Finance,2001,Online
Female,19.62,168.33,64.42,White,Economics and Finance,2000,Online
Male,19.6,169.22,64.03,White,Environmental Sciences,2002,Campus
Male,18.22,168.51,61.51,White,Social Sciences,2001,Online
Male,20.04,170.56,65.22,White,Political Science,2000,Campus
Male,19.66,169.27,65.32,White,Economics and Finance,2002,Campus
Female,18.9,170.96,65.48,White,Biology,2001,Online
Female,19.48,170.15,65.77,White,Political Science,2000,Online
Female,20.73,169.12,64.48,White,Environmental Sciences,2002,Online
Female,19.2,169.98,64.7,White,Social Sciences,2001,Online
Female,19.87,170.28,64.56,White,Economics and Finance,2000,Campus
Female,20.34,170.27,65.63,White,Biology,2002,Online
Female,19.43,169.98,65.53,White,Biology,2001,Campus
Male,22.67,172.14,66.98,White,Mathematics and Statistics,2000,Campus
Female,17.9,168.16,64.13,White,Mathematics and Statistics,2002,Online
Male,19.42,170.66,66.75,White,Economics and Finance,2001,Campus
Male,18.9,167.74,64.29,White,Environmental Sciences,2000,Online
Female,18.57,168.5,63.19,White,Biology,2002,Online
Male,19.8,170.15,63.82,White,Environmental Sciences,2001,Campus
Female,19.5,169.04,63.86,White,Social Sciences,2000,Online
Female,21.32,171.24,66.23,White,Environmental Sciences,2002,Campus
Male,21.51,170,65.14,White,Economics and Finance,2001,Online
Male,20.83,169.4,63.77,White,Biology,2000,Online
Male,18.95,169.16,64.63,White,Biology,2002,Online
Female,22.22,171.81,66.68,White,Social Sciences,2001,Online
Female,20.15,170.4,65.17,White,Political Science,2000,Online
Male,20.74,172.41,66.87,White,Mathematics and Statistics,2002,Campus
Female,18.54,168.88,62.08,White,Social Sciences,2001,Online
Male,22.14,171.56,67.27,White,Environmental Sciences,2000,Online
Male,19.79,168.69,65.03,White,Biology,2002,Campus
Female,20.73,170.57,66.73,White,Political Science,2001,Online
Female,18.97,168.13,64.92,White,Biology,2000,Online
Female,20.42,170.92,65.56,White,Political Science,2002,Online
